"Web ID","Region of Incident","Reported Date","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location Description","Information Source","Location Coordinates","Migration Route","URL","UNSD Geographical Grouping","Source Quality"
"39443","Mediterranean","December 31, 2014","2014","Dec","5","","5","","","1","","Drowning","Unspecified location between North Africa and Italy","ANSA English","34.813800000000, 13.710900000000","Central Mediterranean","http://bit.ly/1xdZY9w","Uncategorized","1"
"39402","Mediterranean","December 31, 2014","2014","Dec","","23","23","28","","","","Drowning","20 miles (32 kilometers) off Cabo de Gata cape, Spain","Press TV","36.399200000000, -2.384030000000","Western Mediterranean","http://bit.ly/12VUMvt","Uncategorized","1"
"39442","North Africa","December 31, 2014","2014","Dec","1","","1","","","","","Murdered","Unspecified location, Libya","MHub","25.131133000000, 11.858396000000","","","Northern Africa","2"
"39205","Caribbean","December 31, 2014","2014","Dec","","1","1","","","1","","Drowning","International waters about 22 miles from Cuban territory.","Miami Herald","23.644500000000, -80.288100000000","","http://hrld.us/1CdEdJM","Caribbean","1"
"39362","Mediterranean","December 31, 2014","2014","Dec","","9","9","2","","","","Drowning","Off town of Gümü?lük, near the city of Bodrum, Turkey","IOM Turkey, via Turkish Coast Guard Command, reported in Todays Zaman","36.999300000000, 27.364180000000","Eastern Mediterranean","http://bit.ly/1xAWSfK","Uncategorized","5"
"39361","Mediterranean","December 31, 2014","2014","Dec","","2","2","","","","","Drowning","Greece to Italy ","Saudi Press Agency","39.977100000000, 19.050300000000","Central Mediterranean","","Uncategorized","1"
"39371","Europe","December 31, 2014","2014","Dec","1","","1","","","1","","Vehicle Accident","M25 highway, United Kingdom (driving from Calais)","Calais Migrant Solidarity","51.120800000000, 1.043700000000","","http://bit.ly/1zTn3Of, http://bit.ly/1DxA7u2","Western Europe","4"
"39255","Horn of Africa","December 31, 2014","2014","Dec","21","3","24","","","","","Drowning","Off coast of Yemen, near al-Makha port","Reuters and IOM Saana ","13.138300000000, 43.159800000000","","http://reut.rs/1uapne0","Eastern Africa","4"
"39401","Mediterranean","December 31, 2014","2014","Dec","17","","17","75","1","15","1","Hyperthermia","40 miles north of Tripoli, Libya in the Channel of Sicily.","IOM Rome ","34.161800000000, 13.073700000000","Central Mediterranean","","Uncategorized","4"
"39383","Southeast Asia","December 31, 2014","2014","Dec","","750","750","","","","250","Starvation, Violence, Dehydration","Vast majority going towards Thailand and Malaysia, others more south in the Indian Ocean","UNHCR","0.175781203951, 77.431640750000","","http://bit.ly/1G6YUEZ","South-eastern Asia","4"
"39444","Mediterranean","December 31, 2014","2014","Dec","","30","30","","","","","Unknown","Unspecified location between North Africa and Italy","IOM Rome ","34.307100000000, 16.611300000000","Central Mediterranean","","Uncategorized","4"
"39445","Mediterranean","December 31, 2014","2014","Dec","9","","9","21","","","3","Drowning","off the coast of Tangier, Strait of Gibraltar","Reuters","35.846800000000, -5.803530000000","Western Mediterranean","http://yhoo.it/1AqncZM","Uncategorized","1"
"39441","Mediterranean","December 30, 2014","2014","Dec","4","","4","","","","","Drowning","Bodies recovered near Zarzia and Ben Gardane, Tunsia","IOM Tunisia","33.482565000000, 11.109411000000","Central Mediterranean","","Uncategorized","4"
"39439","Europe","December 29, 2014","2014","Dec","1","","1","","","","","Vehicle Accident","On A16 highway near Calais direction Calais-Boulogne","Calais Migrant Solidarity","50.847600000000, 1.757810000000","Calais to United Kingdom","http://bit.ly/1vbpsyD","Western Europe","4"
"39210","Central America","December 05, 2014","2014","Dec","41","","41","","4","12","","Mixed","Various locations in Mexico","Minitry of External Relations, Government of Guatemala","23.634500000000, -102.553000000000","Central America to US","","Central America","5"
"39378","Europe","November 28, 2014","2014","Nov","4","","4","","","4","","Exposure, Harsh conditions","Bulgaria/Serbia border, near the village of Kireevo in south-western Bulgaria","Novinite","43.787126100000, 22.372377400000","Western Balkans","http://bit.ly/2gMuEPf","Eastern Europe","1"
"39400","Mediterranean","November 24, 2014","2014","Nov","","12","12","","","","","Drowning","Between Libya and Italy","IOM Italy","35.924600000000, 13.161600000000","Central Mediterranean","","Uncategorized","4"
"39399","Mediterranean","November 23, 2014","2014","Nov","","6","6","","","","","Drowning","Between Libya and Italy","IOM Italy","36.315100000000, 12.919900000000","Central Mediterranean","","Uncategorized","4"
"39438","Europe","November 19, 2014","2014","Nov","2","","2","","","","","Burned","Dunkirk, Loon-Plague port","Daily Mail","50.996600000000, 2.257400000000","","http://dailym.ai/1r4Egyr","Western Europe","1"
"39254","Horn of Africa","November 16, 2014","2014","Nov","","30","30","","","","","Drowning","off cost of Djibouti","IOM Obock","12.093000000000, 44.030500000000","","http://bit.ly/1GNTj9G","Eastern Africa","4"
"39377","Mediterranean","November 12, 2014","2014","Nov","","4","4","5","","","1","Drowning","Aegean Sea, Westen Turkey, off coast of Ayvalik","Daily Mail","39.279000000000, 26.532000000000","Eastern Mediterranean","http://bit.ly/1wjEt2r","Uncategorized","1"
"39376","Middle East","November 07, 2014","2014","Nov","27","11","38","6","4","","11","Drowning","Near Rumeli Feneri, at confluence Bosphorus and Black Sea","Daily News","41.234437400000, 29.112145000000","","http://bit.ly/1wjEt2r, http://bit.ly/10Pl9l0","Western Asia","3"
"39250","Horn of Africa","October 29, 2014","2014","Oct","1","","1","","","1","","Drowning","Between Bosaso and Yemen (Hasihasah)","Society for Humanitarian Solidarity","12.533100000000, 47.922400000000","","http://shsyemen.org/en/","Uncategorized","4"
"39249","Horn of Africa","October 27, 2014","2014","Oct","1","","1","","","1","","Drowning","Between Bosaso and Yemen (Bin Sinaa)","Society for Humanitarian Solidarity","12.533100000000, 47.922400000000","","http://shsyemen.org/en/","Uncategorized","4"
"39248","Horn of Africa","October 24, 2014","2014","Oct","1","","1","","","1","","Drowning","Between Bosaso and Yemen (Bin Sinaa)","Society for Humanitarian Solidarity","12.533100000000, 47.922400000000","","http://shsyemen.org/en/","Uncategorized","4"
"39247","Horn of Africa","October 20, 2014","2014","Oct","1","","1","","","1","","Drowning","Between Bosaso and Yemen (Bin Sinaa)","Society for Humanitarian Solidarity","12.533100000000, 47.922400000000","","http://shsyemen.org/en/","Uncategorized","4"
"39370","Europe","October 19, 2014","2014","Oct","1","0","1","0","","1","","Vehicle Accident","Calais","Calais Migrant Solidarity","50.951300000000, 1.858690000000","Calais to United Kingdom","http://bit.ly/1vQmbIJ","Western Europe","4"
"39246","Horn of Africa","October 17, 2014","2014","Oct","1","","1","","","1","","Drowning","Between Bosaso and Yemen (Bin Sinaa)","Society for Humanitarian Solidarity","12.533100000000, 47.922400000000","","http://shsyemen.org/en/","Uncategorized","4"
"39245","Horn of Africa","October 17, 2014","2014","Oct","1","","1","","","1","","Drowning","Between Bosaso and Yemen (Jalooba)","Society for Humanitarian Solidarity","12.608200000000, 48.823200000000","","http://shsyemen.org/en/","Uncategorized","4"
"39353","Central America","October 17, 2014","2014","Oct","1","","1","","","1","","Fall from train","Santa Ana, Sonora","InfoNogales","30.539833300000, -111.119621500000","Central America to US","http://bit.ly/1X6PLch","Central America","1"
