"Web ID","Region","Reported Date","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location Description","Information Source","Location Coordinates","Migration Route","URL","UNSD Geographical Grouping","Source Quality"
"42442","US-Mexico Border","December 31, 2016","2016","Dec","18","","18","","","","","Mixed","Webb County  jurisdiction, Texas","Webb County Office of the Medical Examiner - Dr Corinne Stern","27.715087300000, -99.907901900000","Central America to US","","Northern America","5"
"43026","Mediterranean","December 31, 2016","2016","Dec","2","","2","","","","","Drowning","Bodies recovered near Zarzia or Ben Gardane, Tunisia","IOM Tunisia","33.206798600000, 11.220954700000","Central Mediterranean","","Uncategorized","4"
"43654","US-Mexico Border","December 31, 2016","2016","Dec","18","","18","","","","","Mixed","Hidalgo County, Texas, USA","Hidalgo County Sheriff","26.376354000000, -98.383347700000","Central America to US","","Northern America","5"
"43655","North Africa","December 31, 2016","2016","Dec","2","","2","","","","","Sickness and lack of access to medicines","Bani Walid, Libya","Mixed Migration Monitoring Mechanism Initiative (4Mi)","31.760201600000, 13.977697100000","","","Northern Africa","2"
"44538","North Africa","December 31, 2016","2016","Dec","2","","2","","","","","Shot","Tripoli, Libya","MHub","32.887209400000, 13.191338300000","","","Northern Africa","2"
"44540","North Africa","December 31, 2016","2016","Dec","2","","2","","","","","Vehicle Accident","Unspecified location, Libya","MHub","27.549510052990, 13.317198187500","","","Northern Africa","2"
"44542","North Africa","December 31, 2016","2016","Dec","1","","1","","","","","Dehydration","Sahara Desert, between Agadez, Niger and Tripoli, Libya","MHub","22.734385541312, 12.939331408172","","","Northern Africa","2"
"44544","North Africa","December 31, 2016","2016","Dec","4","","4","","","","","Shot","Subratah, Libya","MHub","32.752827746969, 12.474927983789","","","Northern Africa","2"
"44546","North Africa","December 31, 2016","2016","Dec","3","","3","","","","","Unknown","Unspecified location, Libya","MHub","30.716293990300, 14.174131781250","","","Northern Africa","2"
"42819","Southeast Asia","December 30, 2016","2016","Dec","1","","1","","","1","","Shot","Naf River, on border between Bangladesh and Myanmar","OHCHR","20.964922300000, 92.213979900000","","http://bit.ly/2kwtWGq","South-eastern Asia","4"
"43653","US-Mexico Border","December 30, 2016","2016","Dec","1","","1","","","1","","Unknown","Presidio County, Texas, USA","Presidio County Sheriff","29.942368000000, -104.373009100000","Central America to US","","Northern America","5"
"42803","Europe","December 29, 2016","2016","Dec","3","","3","12","","","1","Vehicle Accident","Nis-Belgrade highway, near Drazevac, Serbia","B92","44.642491100000, 20.220858800000","Western Balkans","http://bit.ly/2iKyzZD, http://bit.ly/2hL7kfW, http://bit.ly/2iLaP7B","Southern Europe","3"
"42797","US-Mexico Border","December 28, 2016","2016","Dec","1","","1","","","1","","Drowning","Rio Grande, Planta de Potabilidad Sur, Nuevo Laredo, Tamaulipas, Mexico","Hoy Tamaulipas","24.215586000000, -99.433269900000","Central America to US","http://bit.ly/2ifg4wE","Central America","1"
"42794","Central America","December 26, 2016","2016","Dec","12","","12","","","","","Mixed","Coatzacoalcos, Veracruz, Mexico","Codigo Veracruz","18.268156600000, -95.896946100000","Central America to US","http://bit.ly/2iCyS9c","Central America","1"
"42815","Europe","December 26, 2016","2016","Dec","1","","1","","1","","","Hypothermia","Hills on Serbia-Bulgaria border","UNHCR ","43.573664300000, 22.448596000000","Western Balkans","http://bit.ly/2kwb5Y4","Southern Europe","4"
"43652","Horn of Africa","December 26, 2016","2016","Dec","1","","1","","","","","Sickness and lack of access to medicines","Afmadow, Somalia","Mixed Migration Monitoring Mechanism Initiative (4Mi)","0.513496700000, 42.068828400000","","","Eastern Africa","2"
"42795","Central America","December 25, 2016","2016","Dec","1","","1","42","1","","1","Vehicle Accident","Tinaja-Cosoleacaque road, Coatzacoalcos, Veracruz,Mexico","Radio Formula","18.268156600000, -95.896946100000","Central America to US","http://bit.ly/2iDIG5e, http://bit.ly/2iyAT69","Central America","3"
